y	x	Abundancia
-39.82749922	-71.62877723	98
-39.84758352	-71.49344176	210
-40.1289775	-71.6570721	95
-40.16191578	-71.52893158	99
-40.1225718	-71.39096369	183
-40.63123371	-71.46229318	81
-40.6224613	-71.5959355	112
-40.59301232	-71.71636418	23
-40.74004339	-71.88668378	9
-40.68011798	-71.77254799	124
-40.70939387	-71.70020219	185
-40.82456131	-71.56471769	107
-40.92693879	-71.42438108	589
-41.26894986	-71.49535988	32
-41.30945985	-71.59098817	68
-41.24962932	-71.74312231	51
-41.2045175	-71.81960709	25
-39.90747909	-71.36153064	5176
-39.95575307	-71.22834764	21933
-39.98626077	-71.08807289	1143
-40.68299348	-71.023521	213
-40.69709511	-71.15618063	3477
-40.69485596	-71.28664026	74
-41.03375416	-71.29208992	95
-41.1857583	-71.37913733	207
-41.12103517	-71.22006473	860
-40.15257834	-70.36667811	334
-40.11411664	-70.50591518	229
-40.16896823	-70.65118991	6025
-39.95298838	-70.91488131	941
-39.98031615	-70.76677401	4760
-40.12391819	-71.22495054	585
-40.08391178	-71.04617083	549
-40.0943962	-70.89101234	9215
-40.11936103	-70.77340552	6847
-39.86704672	-70.68864243	492
-39.78204642	-70.61156974	10
-40.3664727	-70.45758714	388
-40.41410554	-70.59183472	772
-40.54852788	-70.73925605	2748
-40.58960742	-70.88538942	1402
-41.03262646	-71.15540153	1310
-41.21876699	-71.0860469	788
-41.45854122	-70.65751364	9767
-41.28395028	-70.70074146	372
-41.03958126	-70.4877086	3269
-41.04169811	-70.6319666	21194
-41.12458742	-70.75607426	555
-41.11989833	-70.90171393	528
-41.05350369	-71.03815162	588
