"velocidad_m/min" "frecuencia"
0.25 0.154
0.75 0.336
1.25 0.318
1.75 0.266
2.25 0.2
2.75 0.116
3.25 0.114
3.75 0.088
4.25 0.07
4.75 0.062
5.25 0.028
5.75 0.04
6.25 0.034
6.75 0.042
7.25 0.024
7.75 0.016
8.25 0.01
8.75 0.008
9.25 0.01
9.75 0.006
10.25 0.004
10.75 0.01
11.25 0.002
11.75 0
12.25 0.01
12.75 0.004
13.25 0
13.75 0.002
14.25 0.002
14.75 0.004
15.25 0.002
15.75 0
16.25 0
16.75 0
17.25 0.002
17.75 0
18.25 0.002
18.75 0
19.25 0
19.75 0
20.25 0
20.75 0
21.25 0.002
21.75 0
22.25 0
22.75 0.002
23.25 0.002
23.75 0
24.25 0
24.75 0
25.25 0
25.75 0
26.25 0
26.75 0
27.25 0
27.75 0
28.25 0
28.75 0.002
29.25 0
29.75 0
30.25 0
30.75 0
31.25 0
31.75 0
32.25 0
32.75 0
33.25 0
33.75 0
34.25 0
34.75 0
35.25 0
35.75 0
36.25 0.002
36.75 0.002
37.25 0
37.75 0
38.25 0
38.75 0
39.25 0
39.75 0
40.25 0
40.75 0
41.25 0
41.75 0
42.25 0
42.75 0
43.25 0
43.75 0
44.25 0
44.75 0
45.25 0
45.75 0
46.25 0
46.75 0.002
